section,address,lat,lng,unit_PRICE,PRICE,health,total_size,land_size,n_land,n_build,n_park,district_id,date,built_date,floor,total_floor,build_state,use,is.comp,is.manage,is.furn,n_room,n_hall,n_bath,id
2015Q1,臺北市南港區南港路三段16巷1~30號,25.0562592,121.5915528,288.12908182865925,45e3,0,156.18,0,0,1,1,4,2014-10-06,2009-02-20,1,12,3,-1,FALSE,TRUE,FALSE,0,0,0,81
2015Q1,臺北市松山區南京東路五段181~210號,25.0514711,121.5575573,321.19914346895075,52500,0,163.45,0,0,1,0,7,2014-10-09,1981-03-31,3,14,1,2,FALSE,TRUE,FALSE,0,0,0,82
2015Q1,臺北市信義區臺北市信義區松德路181~210號,25.0320133,121.5742771,742.2251911229866,1e5,0,134.73000000000002,0,0,1,0,10,2014-10-19,1999-06-21,1,18,3,-1,FALSE,TRUE,TRUE,0,0,0,83
2015Q1,臺北市信義區基隆路一段121~150號,25.0447812,121.5669716,602.8636021100226,32e3,1,53.08,2241,0,1,0,10,2014-10-06,2006-08-02,6,13,10,-1,TRUE,TRUE,TRUE,2,1,1,84
2015Q1,臺北市信義區基隆路一段181~210號,25.039364,121.562886,756.0504745470233,140202,0,185.44,0,0,0,0,10,2014-10-30,1992-10-15,8,24,1,2,FALSE,TRUE,FALSE,0,0,0,85
2015Q1,臺北市信義區信義路四段391~420號,25.0332999,121.558381,392.15686274509807,4e4,0,102,0,0,1,0,10,2014-10-28,NA,7,14,1,2,TRUE,TRUE,FALSE,2,1,0,86
2015Q1,臺北市松山區健康路151~180號,25.0541773,121.5600574,386.1003861003861,23e3,1,59.57,0,0,1,0,7,2014-10-07,1978-07-20,1,13,10,1,TRUE,TRUE,TRUE,1,1,1,87
2015Q1,臺北市內湖區陽光街345巷1~30號,25.0733149,121.578486,317.6297878019485,71400,0,224.79,0,0,1,0,5,2014-05-07,2001-12-12,4,9,2,3,TRUE,TRUE,TRUE,3,0,0,88
2015Q1,臺北市中山區龍江路295巷1~30號,25.0607962,121.5411244,266.2946994674106,21e3,1,78.86,0,0,1,0,11,2014-10-28,NA,2,4,5,1,TRUE,FALSE,TRUE,2,2,1,89
2015Q1,臺北市中山區松江路151~180號,25.0554652,121.5332848,399.28876688398793,128e3,0,320.57,0,0,1,0,11,2014-10-31,1978-01-30,7,11,1,2,FALSE,FALSE,FALSE,0,0,0,90
2015Q1,臺北市中山區民生東路一段61~90號,25.0580477,121.5264375,259.89909799724813,34e3,2,130.82,0,0,1,0,11,2014-10-21,1981-04-23,4,12,10,2,TRUE,TRUE,TRUE,3,2,2,91
2015Q1,臺北市內湖區陽光街271~300號,25.0741203,121.5806079,332.7512112662643,279521,0,840.03,0,0,1,0,5,2014-10-31,2002-05-06,5,9,2,3,FALSE,TRUE,FALSE,0,0,0,92
2015Q1,臺北市內湖區石潭路61~90號,25.062785,121.5867659,278.65185578344773,73500,0,263.77,0,0,1,2,5,2014-11-06,2011-11-11,8,14,2,-1,FALSE,TRUE,FALSE,0,0,0,93
2015Q1,臺北市內湖區環山路一段1~30號,25.0826777,121.5656678,360.9985700667302,121180,2,335.68,46.51,0,1,3,5,2014-10-25,2009-10-07,14,24,10,1,TRUE,TRUE,TRUE,3,2,2,94
2015Q1,臺北市內湖區文德路220巷31~60號,25.0775506,121.5882658,217.22265321955004,28e3,1,128.9,15.72,1,1,1,5,2014-11-02,2007-03-30,5,9,6,1,TRUE,TRUE,TRUE,2,2,1,95
2015Q1,臺北市中山區南京東路二段1~30號,25.0523303,121.5279494,403.33309777872,171227,0,424.53,0,0,0,0,11,2014-10-08,1977-11-18,8,12,1,2,FALSE,TRUE,TRUE,0,0,0,96
2015Q1,臺北市中山區民權東路二段31~60號,25.062792,121.529399,366.6929933431118,13e4,1,354.52,0,0,3,0,11,2014-10-09,1971-03-12,4,6,1,2,TRUE,TRUE,TRUE,6,2,1,97
2015Q1,臺北市信義區東興路61~90號,25.047564,121.567114,335.58411975268467,165e3,1,491.68,0,0,0,2,10,2014-10-31,1993-02-05,3,11,2,3,TRUE,TRUE,TRUE,5,1,1,98
2015Q1,臺北市信義區忠孝東路五段481~510號,25.041004,121.577475,419.81528127623847,85e3,2,202.47,0,0,1,0,10,2014-10-07,1993-08-13,16,28,1,2,TRUE,TRUE,TRUE,4,2,2,99
2015Q1,臺北市士林區中山北路七段232巷19弄1~30號,25.127673,121.535368,945.3781512605042,135e3,3,142.8,0,0,1,0,6,2014-10-27,1961-08-19,-1,1,9,1,TRUE,FALSE,TRUE,3,2,3,100
2015Q1,臺北市北投區行義路186巷1~30號,25.132623,121.528973,155.96568754873928,18e3,2,115.41,0,0,1,0,1,2014-10-31,1989-01-31,3,3,5,1,TRUE,FALSE,FALSE,3,2,2,101
2015Q1,臺北市大安區信義路四段271~300號,25.033347,121.5545137,570.6199214826988,25e4,0,438.12,0,0,4,0,2,2014-10-03,1985-11-07,-1,15,3,2,FALSE,TRUE,FALSE,0,0,0,102
2015Q1,臺北市大安區復興南路二段90巷1~30號,25.0266083,121.5438961,763.9141506002182,42e3,1,54.98,0,0,1,0,2,2014-10-08,2006-04-10,5,7,6,1,TRUE,TRUE,TRUE,2,2,1,103
2015Q1,臺北市大安區永康街75巷1~30號,25.028923,121.529913,286.73012960201856,5e4,2,174.38,0,0,1,1,2,2014-10-26,2001-10-26,3,7,6,1,TRUE,TRUE,TRUE,3,2,2,104
2015Q1,臺北市士林區通河街1~30號,25.087772,121.5168186,399.8080921157844,5e4,1,125.06,0,0,1,0,6,2014-10-20,2012-11-12,6,8,6,1,TRUE,TRUE,TRUE,2,1,1,105
2015Q1,臺北市萬華區桂林路1~30號,25.037703,121.5061818,454.9376421680132,58e3,2,127.49,0,0,1,0,8,2014-10-31,2010-04-13,9,15,10,1,TRUE,TRUE,TRUE,3,2,2,106
2015Q1,臺北市大同區市民大道一段181~210號,25.048493,121.5187377,928.2009282009282,34e3,1,36.63,0,0,1,0,3,2014-10-20,2009-07-24,12,18,10,1,TRUE,TRUE,TRUE,1,1,1,107
2015Q1,臺北市大同區南京西路61~90號,25.0530963,121.5191378,478.4688995215311,55e3,2,114.95,0,0,1,0,3,2014-10-21,2008-02-05,3,15,10,1,TRUE,TRUE,TRUE,3,2,2,108
2015Q1,臺北市南港區舊莊路一段91巷12弄1~30號,25.0410478,121.619879,227.53128555176335,12e3,1,52.74,0,0,1,0,4,2014-10-18,2003-04-30,3,6,6,1,TRUE,FALSE,TRUE,1,0,1,109
2015Q1,臺北市松山區敦化北路199巷16弄1~30號,25.0563999,121.551294,317.3483779971791,45e3,2,141.8,0,0,1,0,7,2014-10-20,1986-07-14,5,7,6,1,TRUE,TRUE,TRUE,3,2,2,110
2015Q1,臺北市南港區舊莊街一段91巷12弄1~30號,25.0410478,121.619879,277.264325323475,12e3,1,43.28,0,0,1,0,4,2014-11-01,2003-04-30,4,6,6,1,TRUE,FALSE,TRUE,1,0,1,111
2015Q1,臺北市信義區忠孝東路五段481~510號,25.041004,121.577475,462.5529143601433,28410,0,61.42,0,0,1,0,10,2014-10-20,1993-08-13,3,27,1,2,FALSE,TRUE,TRUE,0,0,0,112
2015Q1,臺北市南港區研究院路一段1~30號,25.0527933,121.616445,403.76850605652754,27e3,0,66.87,24.87,0,1,0,4,2014-11-05,NA,1,4,5,1,FALSE,FALSE,FALSE,1,0,0,113
2015Q1,臺北市信義區忠孝東路四段511~540號,25.0413432,121.5605632,349.2351749668227,5e4,1,143.17,172,0,1,0,10,2014-10-16,NA,5,12,10,1,TRUE,FALSE,FALSE,2,2,1,114
2015Q1,臺北市松山區八德路四段781~810號,25.051134,121.578391,382.8803742481622,137500,13,359.12,99,0,1,0,7,2014-11-06,NA,-1,4,5,1,TRUE,FALSE,TRUE,13,0,13,115
